task_id	task_type	model_id	context	track	seed	best_epoch	validation_threshold	accuracy	precision	recall	specificity	f1	balanced_accuracy	mcc	auroc	auprc	brier	ece	tp	tn	fp	fn	rc_test_samples	rc_cosine_mean	rc_l2_mean	selected_alpha	pearson_macro	spearman_macro	r2_macro	mae_macro	rmse_macro	panel_code
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	43	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	43	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	71	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	71	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	97	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	97	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	13	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	13	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	29	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	29	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	43	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	43	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	71	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	71	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	97	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	97	61	0.615	0.78125	0.9022346368715084	0.630859375	0.931640625	0.7425287356321839	0.78125	0.5898123471595395	0.8909454345703125	0.8935701814618804	0.14592596999086094	0.10153043550246821	323	477	35	189	1024	1.0	1.919269561767578e-05							A2
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	13	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	13	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	29	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	29	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
